CRASH_ID,UNIT_NBR,UNIT_DESC_ID,VEH_PARKED_FL,VEH_HNR_FL,VEH_LIC_STATE_ID,VIN,VEH_MOD_YEAR,VEH_COLOR_ID,VEH_MAKE_ID,VEH_MOD_ID,VEH_BODY_STYL_ID,EMER_RESPNDR_FL,OWNR_ZIP,FIN_RESP_PROOF_ID,FIN_RESP_TYPE_ID,VEH_DMAG_AREA_1_ID,VEH_DMAG_SCL_1_ID,FORCE_DIR_1_ID,VEH_DMAG_AREA_2_ID,VEH_DMAG_SCL_2_ID,FORCE_DIR_2_ID,VEH_INVENTORIED_FL,VEH_TRANSP_NAME,VEH_TRANSP_DEST,CONTRIB_FACTR_1_ID,CONTRIB_FACTR_2_ID,CONTRIB_FACTR_P1_ID,VEH_TRVL_DIR_ID,FIRST_HARM_EVT_INV_ID,INCAP_INJRY_CNT,NONINCAP_INJRY_CNT,POSS_INJRY_CNT,NON_INJRY_CNT,UNKN_INJRY_CNT,TOT_INJRY_CNT,DEATH_CNT
15317011,1,MOTOR VEHICLE,N,N,TX,JKAVN2D167A010245,2007,SIL,KAWASAKI,NA,MOTORCYCLE,N,75968,1,LIABILITY INSURANCE POLICY,"MOTORCYCLE, SCOOTER, MOPED, ETC. ONLY",DAMAGED 1 MINIMUM,11,NA,NA,NA,N,TATES WRECKER 409-584-2131,"746 US 96 PINELAND,TX. 75968",UNSAFE SPEED,UNDER INFLUENCE - ALCOHOL,NA,WEST,Y,1,0,0,0,0,1,0
15317167,2,MOTOR VEHICLE,N,N,TX,1HD1JDV13GB019004,NA,BLK,HARLEY-DAVIDSON,NA,MOTORCYCLE,N,79928,1,PROOF OF LIABILITY INSURANCE,DISTRIBUTED LEFT SIDE DAMAGE PARALLEL IMPACT,DAMAGED 1 MINIMUM,10,NA,NA,NA,N,DRIVER,TRAFFIC,NONE,NA,NA,NORTH,Y,0,0,1,0,0,1,0
15322225,2,MOTOR VEHICLE,N,N,TX,JKAEXVD197A104227,2007,GLD,KAWASAKI,NA,MOTORCYCLE,N,78043,1,PROOF OF LIABILITY INSURANCE,LEFT SIDE DAMAGE ANGULAR IMPACT,DAMAGED 1 MINIMUM,9,RIGHT SIDE DAMAGE ANGULAR IMPACT,DAMAGED 1 MINIMUM,3,N,DRIVER,DRIVEN AWAY,NONE,NA,NA,WEST,Y,0,0,1,0,0,1,0
15326788,1,MOTOR VEHICLE,N,N,TX,1HFSC47012A106960,2002,SIL,HONDA,NA,MOTORCYCLE,N,78336,1,PROOF OF LIABILITY INSURANCE,"MOTORCYCLE, SCOOTER, MOPED, ETC. ONLY",DAMAGED 1 MINIMUM,NA,NA,NA,NA,Y,E&J WRECKER  361-758-8286,"1225 N COMMERICAL ARANSAS PASS, TX",FAILED TO YIELD ROW - TURNING LEFT,UNDER INFLUENCE - ALCOHOL,NA,NORTHEAST,Y,1,0,0,0,0,1,0
15327483,2,MOTOR VEHICLE,N,N,TX,1HFSC55027A305371,2007,BLK,HONDA,NA,MOTORCYCLE,N,77521,1,PROOF OF LIABILITY INSURANCE,"MOTORCYCLE, SCOOTER, MOPED, ETC. ONLY",DAMAGED 1 MINIMUM,NA,NA,NA,NA,N,3 ACES 409-389-2324,"104 SH-65 ANAHUAC, TX 77514",NONE,NA,NA,WEST,Y,1,0,0,0,0,1,0
15329261,2,MOTOR VEHICLE,N,N,TX,1HD1FBW161Y660446,2001,BLK,HARLEY-DAVIDSON,UNKNOWN,MOTORCYCLE,N,76179,2,NA,LEFT SIDE DAMAGE ANGULAR IMPACT,DAMAGED 3,9,RIGHT SIDE DAMAGE ANGULAR IMPACT,DAMAGED 3,9,N,TEXAS TOWING,205 COMMERCIAL,NONE,NA,NA,SOUTHEAST,Y,1,0,0,0,0,1,0
15329801,1,MOTOR VEHICLE,N,N,TX,1HD1HAZ114K808803,2004,SIL,HARLEY-DAVIDSON,NA,MOTORCYCLE,N,76262,1,LIABILITY INSURANCE POLICY,FRONT END DAMAGE DISTRIBUTED IMPACT,DAMAGED 2,12,"MOTORCYCLE, SCOOTER, MOPED, ETC. ONLY",DAMAGED 1 MINIMUM,12,N,,,NONE,NA,NA,SOUTH,Y,0,0,1,0,0,1,0
15330079,3,MOTOR VEHICLE,N,N,TX,JH2SC5950DK500219,NA,ONG,HONDA,NA,MOTORCYCLE,N,78541,1,PROOF OF LIABILITY INSURANCE,DISTRIBUTED LEFT SIDE DAMAGE PARALLEL IMPACT,DAMAGED 1 MINIMUM,12,LEFT SIDE DAMAGE ANGULAR IMPACT,DAMAGED 1 MINIMUM,9,N,,,OTHER (EXPLAIN IN NARRATIVE),NA,NA,SOUTHEAST,Y,1,0,0,0,0,1,0
15330506,1,MOTOR VEHICLE,N,N,TX,JYAVP11E0XA002171,1999,RED,YAMAHA,UNKNOWN,MOTORCYCLE,N,79714,1,PROOF OF LIABILITY INSURANCE,"MOTORCYCLE, SCOOTER, MOPED, ETC. ONLY",DAMAGED 1 MINIMUM,NA,NA,NA,NA,Y,WRECKIN CREW (ROTATION),"603 SW  AVE E, ANDREWS, TX, 79714",UNSAFE SPEED,NA,HAD BEEN DRINKING,NORTHWEST,Y,0,1,0,0,0,1,0
15334385,2,MOTOR VEHICLE,N,N,TX,JS1VT53A852101601,2005,BLK,SUZUKI,NA,MOTORCYCLE,N,78504,1,PROOF OF LIABILITY INSURANCE,"MOTORCYCLE, SCOOTER, MOPED, ETC. ONLY",DAMAGED 1 MINIMUM,12,NA,NA,NA,N,DRIVEN OFF BY DRIVER,DRIVEN OFF BY DRIVER,NONE,NA,NA,WEST,Y,0,0,1,0,0,1,0
15334831,2,MOTOR VEHICLE,N,N,TX,1HD1JFB146Y016494,2006,BLK,HARLEY-DAVIDSON,NA,MOTORCYCLE,N,79413,1,PROOF OF LIABILITY INSURANCE,"MOTORCYCLE, SCOOTER, MOPED, ETC. ONLY",DAMAGED 1 MINIMUM,NA,NA,NA,NA,N,LUBBOCK WRECKER,LUBBOCK POLICE PROCESSING FACILITY,NONE,NA,NA,EAST,Y,0,0,0,0,0,0,1
15338625,1,MOTOR VEHICLE,N,N,TX,L9NTEACT0E1009214,NA,BLU,ALL OTHER MAKES,UNKNOWN,MOTORCYCLE,N,75757,1,PROOF OF LIABILITY INSURANCE,"MOTORCYCLE, SCOOTER, MOPED, ETC. ONLY",DAMAGED 1 MINIMUM,NA,NA,NA,NA,Y,CROW TOWING,"2929 CROW RD.; TYLER, TX",UNDER INFLUENCE - ALCOHOL,NA,NA,SOUTH,Y,1,0,0,0,0,1,0
15339729,1,MOTOR VEHICLE,N,N,TX,JH2RC4404YM200472,2000,BLK,HONDA,NA,MOTORCYCLE,N,78728,2,NA,DISTRIBUTED LEFT SIDE DAMAGE PARALLEL IMPACT,DAMAGED 4,9,NA,NA,NA,Y,SOUTHSIDE WRECKER INC,SOUTHSIDE WRECKER INC,FLEEING OR EVADING POLICE,FAILED TO CONTROL SPEED,HAD BEEN DRINKING,NORTHWEST,Y,1,0,0,0,0,1,0
15344487,1,MOTOR VEHICLE,N,N,TX,1HD1BJY132Y028962,2002,BLK,HARLEY-DAVIDSON,NA,MOTORCYCLE,N,76656,1,PROOF OF LIABILITY INSURANCE,FRONT END DAMAGE CONCENTRATED IMPACT,DAMAGED 3,12,BACK END DAMAGE CONCENTRATED IMPACT,DAMAGED 3,6,Y,JOSE FRANCO 915-497-1331,"107 BENITO MARTINEZ, FT HANCOCK TX 79839",FAILED TO CONTROL SPEED,FAULTY EVASIVE ACTION,NA,WEST,Y,0,1,0,0,0,1,0
15344553,2,MOTOR VEHICLE,N,N,TX,1HD1BX5139Y062059,NA,BLU,HARLEY-DAVIDSON,NA,MOTORCYCLE,N,78133,1,LIABILITY INSURANCE POLICY,"MOTORCYCLE, SCOOTER, MOPED, ETC. ONLY",DAMAGED 1 MINIMUM,NA,NA,NA,NA,N,DRIVEN OFF,,NONE,NA,NA,SOUTHEAST,Y,0,1,0,0,0,1,0
15347036,2,MOTOR VEHICLE,N,N,TX,1HD1FCW134Y620996,2004,WHI,HARLEY-DAVIDSON,NA,MOTORCYCLE,N,75143,1,PROOF OF LIABILITY INSURANCE,"MOTORCYCLE, SCOOTER, MOPED, ETC. ONLY",DAMAGED 1 MINIMUM,6,NA,NA,NA,N,SUNSHINE WRECKER,355 S. GUN BARREL LN,NONE,NA,NA,WEST,Y,1,0,0,0,0,1,0
15347363,1,MOTOR VEHICLE,N,N,TX,1HD1LC316CC455731,NA,BLK,HARLEY-DAVIDSON,NA,MOTORCYCLE,N,76164,2,NA,FRONT END (RIGHT)  DAMAGE PARTIAL CONTACT,DAMAGED 1 MINIMUM,1,LEFT SIDE DAMAGE ANGULAR IMPACT,DAMAGED 2,9,N,BEARD'S,PRIVATE RESIDENCE,FOLLOWED TOO CLOSELY,FAULTY EVASIVE ACTION,NA,EAST,Y,0,1,0,0,0,1,0
15350401,1,MOTOR VEHICLE,N,N,TX,1HD1CT325BC419326,NA,BLK,HARLEY-DAVIDSON,NA,MOTORCYCLE,N,78207,1,LIABILITY INSURANCE POLICY,"MOTORCYCLE, SCOOTER, MOPED, ETC. ONLY",DAMAGED 1 MINIMUM,12,"MOTORCYCLE, SCOOTER, MOPED, ETC. ONLY",DAMAGED 1 MINIMUM,9,N,MISSION TOWING,GROWDON,HAD BEEN DRINKING,NA,NA,SOUTH,Y,0,1,0,0,0,1,0
15350686,2,MOTOR VEHICLE,N,N,TX,56KCCDAA8G3330233,NA,BLK,INDIAN,NA,MOTORCYCLE,N,78073,1,PROOF OF LIABILITY INSURANCE,"MOTORCYCLE, SCOOTER, MOPED, ETC. ONLY",DAMAGED 1 MINIMUM,NA,NA,NA,NA,N,,,NONE,NA,NA,WEST,Y,0,0,1,0,0,1,0
15352001,1,MOTOR VEHICLE,N,N,TX,1HD1JT914GC011377,NA,BLK,HARLEY-DAVIDSON,NA,MOTORCYCLE,N,77845,1,PROOF OF LIABILITY INSURANCE,RIGHT FRONT QUARTER DAMAGE ANGULAR IMPACT,DAMAGED 2,3,BACK END DAMAGE DISTRIBUTED IMPACT,DAMAGED 2,6,N,,,FAILED TO YIELD ROW - TURNING LEFT,NA,NA,NORTH,Y,1,0,0,0,0,1,0
15353342,1,MOTOR VEHICLE,N,N,TX,1HD1GHV122Y320990,2002,BLK,HARLEY-DAVIDSON,UNKNOWN,MOTORCYCLE,N,75252,1,PROOF OF LIABILITY INSURANCE,"MOTORCYCLE, SCOOTER, MOPED, ETC. ONLY",DAMAGED 1 MINIMUM,NA,NA,NA,NA,Y,JR'S AUTOMOTIVE CENTER 9032911816,304 CHEROKEE DR LONGVIEW TX 75604,UNDER INFLUENCE - ALCOHOL,FAILED TO DRIVE IN SINGLE LANE,NA,NORTHWEST,Y,0,0,0,1,0,0,0
15353642,1,MOTOR VEHICLE,N,N,TX,JKALXSA156DA32100,2006,MUL,KAWASAKI,UNKNOWN,MOTORCYCLE,N,75762,2,NA,LEFT SIDE DAMAGE ANGULAR IMPACT,DAMAGED 2,2,NA,NA,NA,N,RELEASED AT SCENE,RELEASED AT SCENE,FAILED TO CONTROL SPEED,WRONG SIDE - APPROACH OR INTERSECTION,DRIVER INATTENTION,EAST,Y,0,1,0,0,0,1,0
15355422,2,MOTOR VEHICLE,N,N,AZ,1HD1GY4498K311873,NA,BLK,HARLEY-DAVIDSON,NA,MOTORCYCLE,N,85710,1,PROOF OF LIABILITY INSURANCE,"MOTORCYCLE, SCOOTER, MOPED, ETC. ONLY",DAMAGED 1 MINIMUM,NA,NA,NA,NA,N,ATLY BLUM,RELEASED BACK TO TRAFFIC,NONE,NA,NA,NORTH,Y,0,0,0,1,0,0,0
15356285,1,MOTOR VEHICLE,N,Y,TX,ZDM1RADMX7B104463,2007,BLK,DUCATI,NA,MOTORCYCLE,N,75230,2,NA,FRONT END DAMAGE CONCENTRATED IMPACT,DAMAGED 3,12,LEFT SIDE DAMAGE ANGULAR IMPACT,DAMAGED 3,9,Y,MCINTYRES,4515 US HWY 80 MESQUITE TX 75150,SPEEDING - (OVERLIMIT),PARKED IN TRAFFIC LANE,NA,WEST,Y,1,0,0,0,0,1,0
15356779,2,MOTOR VEHICLE,N,N,TX,JKAZX4R19AA019075,NA,BLK,KAWASAKI,NA,MOTORCYCLE,N,77044,1,LIABILITY INSURANCE POLICY,FRONT END (RIGHT)  DAMAGE PARTIAL CONTACT,DAMAGED 1 MINIMUM,2,FRONT END DAMAGE CONCENTRATED IMPACT,DAMAGED 6,12,Y,FAT BOY'S TOWING,11360 EASTEX FRWY,NONE,NA,NA,EAST,Y,0,1,0,0,0,1,0
15359650,1,MOTOR VEHICLE,N,N,TX,JKBVNAE143A112030,2003,BLK,KAWASAKI,UNKNOWN,MOTORCYCLE,N,74143,1,LIABILITY INSURANCE POLICY,LEFT SIDE AND TOP DAMAGE ROLLOVER EFFECTS,DAMAGED 2,10,NA,NA,NA,Y,HAVERY'S TOWING,"101 TX-274, KEMP, TX75143",UNSAFE SPEED,NA,NA,NORTH,Y,1,0,0,0,0,1,0
15359861,1,MOTOR VEHICLE,N,N,TX,1HD1CT3138K435546,NA,WHI,HARLEY-DAVIDSON,UNKNOWN,MOTORCYCLE,N,79720,2,NA,FRONT END DAMAGE CONCENTRATED IMPACT,DAMAGED 2,12,LEFT SIDE DAMAGE ANGULAR IMPACT,DAMAGED 3,9,Y,MARK LOPEZ,"EAST 19TH AND LOOP 289, LUBBOCK TX 79403",FAILED TO CONTROL SPEED,NA,NA,SOUTH,Y,1,0,0,0,0,1,0
15360571,2,MOTOR VEHICLE,N,N,TX,JYARJ16E8AA020775,NA,WHI,YAMAHA,NA,MOTORCYCLE,N,76234,1,PROOF OF LIABILITY INSURANCE,"MOTORCYCLE, SCOOTER, MOPED, ETC. ONLY",DAMAGED 1 MINIMUM,12,NA,NA,NA,N,PULLED AWAY BY OPERATOR,RESIDENCE,NONE,NA,NA,EAST,Y,0,0,1,0,0,1,0
15368432,2,MOTOR VEHICLE,N,N,TX,WB1053404EZ308530,NA,WHI,BMW,NA,MOTORCYCLE,N,77583,1,PROOF OF LIABILITY INSURANCE,"MOTORCYCLE, SCOOTER, MOPED, ETC. ONLY",DAMAGED 1 MINIMUM,6,NA,NA,NA,Y,CHAMPION COLLISION CARE,8747 SCHUMACHER,NONE,NA,NA,EAST,Y,1,0,0,0,0,1,0
15370987,1,MOTOR VEHICLE,N,N,TX,1HFSC224XMA300095,1991,BLU,HONDA,NA,MOTORCYCLE,N,75428,1,PROOF OF LIABILITY INSURANCE,"MOTORCYCLE, SCOOTER, MOPED, ETC. ONLY",DAMAGED 1 MINIMUM,NA,NA,NA,NA,Y,MORGANS WRECKER SERVICE,"2243 US 69 S - GREENVILLE, TX 75402",UNDER INFLUENCE - ALCOHOL,FAILED TO DRIVE IN SINGLE LANE,NA,SOUTH,Y,1,0,0,0,0,1,0
15371765,2,MOTOR VEHICLE,N,N,TX,1HD1FHM19GB674455,NA,BLK,HARLEY-DAVIDSON,NA,MOTORCYCLE,Y,79401,1,CERTIFICATE OF SELF-INSURANCE,FRONT END DAMAGE DISTRIBUTED IMPACT,NO DAMAGE,12,NA,NA,NA,N,DRIVEN FROM SCENE BY DRIVER,,NONE,NA,NA,EAST,Y,0,0,0,1,0,0,0
15372894,1,MOTOR VEHICLE,N,N,TX,RKRSE48Y6DA092767,NA,BLK,YAMAHA,UNKNOWN,MOTORCYCLE,N,78230,2,NA,LEFT SIDE DAMAGE ANGULAR IMPACT,DAMAGED 2,11,NA,NA,NA,N,CONTRACT,GROWDON POUND,UNDER INFLUENCE - ALCOHOL,DRIVER INATTENTION,NA,WEST,Y,0,1,0,0,0,1,0
15375497,1,MOTOR VEHICLE,N,N,TX,JKALZCB12FA003683,NA,ONG,KAWASAKI,UNKNOWN,MOTORCYCLE,N,75472,1,PROOF OF LIABILITY INSURANCE,FRONT END DAMAGE DISTRIBUTED IMPACT,DAMAGED 4,12,NA,NA,NA,N,,,DRIVER INATTENTION,DISREGARD STOP SIGN OR LIGHT,NA,SOUTH,Y,0,0,0,1,0,0,0
15376983,2,MOTOR VEHICLE,N,N,LA,JKAKLEE1X9DA18393,NA,RED,KAWASAKI,NA,MOTORCYCLE,N,70403,1,LIABILITY INSURANCE POLICY,"MOTORCYCLE, SCOOTER, MOPED, ETC. ONLY",DAMAGED 1 MINIMUM,3,NA,NA,NA,N,,,CHANGED LANE WHEN UNSAFE,DRIVER INATTENTION,FAILED TO DRIVE IN SINGLE LANE,SOUTH,Y,0,0,0,1,0,0,0
15377621,2,MOTOR VEHICLE,N,N,TX,1HD1MAN169Y852707,NA,BLK,HARLEY-DAVIDSON,NA,MOTORCYCLE,N,77469,1,PROOF OF LIABILITY INSURANCE,FRONT END DAMAGE CONCENTRATED IMPACT,DAMAGED 2,12,NA,NA,NA,N,REDLINE TOWING,"2121 STEHLE ROAD, ROSENBERG 832-277-0714",NONE,NA,NA,WEST,Y,0,0,2,0,0,2,0
15378703,2,MOTOR VEHICLE,N,N,SD,JH2RC44096K011163,2006,BLK,HONDA,NA,MOTORCYCLE,N,77480,2,NA,LEFT FRONT QUARTER DAMAGE ANGULAR IMPACT,DAMAGED 2,10,RIGHT FRONT QUARTER DAMAGE ANGULAR IMPACT,DAMAGED 2,2,N,,,FAULTY EVASIVE ACTION,NA,FAILED TO CONTROL SPEED,EAST,Y,0,1,0,0,0,1,0
15379509,3,MOTOR VEHICLE,N,N,TX,1HFSC46082A011510,2002,BLK,HONDA,NA,MOTORCYCLE,N,77662,1,LIABILITY INSURANCE POLICY,"MOTORCYCLE, SCOOTER, MOPED, ETC. ONLY",DAMAGED 1 MINIMUM,NA,NA,NA,NA,N,HERRERAHS TOWING,440 EAST FRWY VIDOR TX 77662,NONE,NA,NA,NORTH,Y,1,0,0,0,0,1,0
15379778,1,MOTOR VEHICLE,N,N,TX,1HD1PLF165Y951327,2005,BLU,HARLEY-DAVIDSON,NA,MOTORCYCLE,N,78211,1,PROOF OF LIABILITY INSURANCE,FRONT END DAMAGE CONCENTRATED IMPACT,DAMAGED 2,12,NA,NA,NA,N,,,NONE,NA,NA,SOUTHWEST,Y,0,1,0,0,0,1,0
15384891,1,MOTOR VEHICLE,N,N,TX,1HD1GN4149K327355,NA,RED,HARLEY-DAVIDSON,UNKNOWN,MOTORCYCLE,N,76163,1,PROOF OF LIABILITY INSURANCE,"MOTORCYCLE, SCOOTER, MOPED, ETC. ONLY",DAMAGED 1 MINIMUM,3,"MOTORCYCLE, SCOOTER, MOPED, ETC. ONLY",DAMAGED 1 MINIMUM,3,Y,DAVE'S HI-WAY WRECKER,3010 HARDROCK,NONE,NA,NA,NORTHEAST,Y,0,1,0,0,0,1,0
15384911,1,MOTOR VEHICLE,N,N,TX,1HFSC220XPA504624,1993,BLK,HONDA,UNKNOWN,MOTORCYCLE,N,78239,1,PROOF OF LIABILITY INSURANCE,LEFT SIDE DAMAGE ANGULAR IMPACT,DAMAGED 1 MINIMUM,9,RIGHT SIDE DAMAGE ANGULAR IMPACT,DAMAGED 1 MINIMUM,3,N,OWNER,OWNER,DRIVER INATTENTION,OTHER (EXPLAIN IN NARRATIVE),NA,NORTH,Y,0,0,1,0,0,1,0
15388050,1,MOTOR VEHICLE,N,N,TX,1RD1GX4117K301434,2007,BLK,HARLEY-DAVIDSON,NA,MOTORCYCLE,N,76513,2,NA,RIGHT SIDE DAMAGE ANGULAR IMPACT,DAMAGED 5,3,NA,NA,NA,N,,,UNDER INFLUENCE - ALCOHOL,FAILED TO CONTROL SPEED,NA,EAST,Y,1,0,0,0,0,1,0
15390994,2,MOTOR VEHICLE,N,N,TX,1HD1JNV11CB023438,NA,BLK,HARLEY-DAVIDSON,UNKNOWN,MOTORCYCLE,N,79720,1,PROOF OF LIABILITY INSURANCE,"MOTORCYCLE, SCOOTER, MOPED, ETC. ONLY",DAMAGED 1 MINIMUM,11,NA,NA,NA,N,,,NONE,NA,NA,EAST,Y,0,0,0,1,0,0,0
15413514,1,MOTOR VEHICLE,N,N,TX,1HD1BXB1X4Y056708,2004,BLK,HARLEY-DAVIDSON,UNKNOWN,MOTORCYCLE,N,79045,1,LIABILITY INSURANCE POLICY,FRONT END DAMAGE DISTRIBUTED IMPACT,DAMAGED 1 MINIMUM,1,NA,NA,NA,N,NOT TOWED,MOVED BY DRIVER,FOLLOWED TOO CLOSELY,NA,DRIVER INATTENTION,WEST,Y,0,0,0,1,0,0,0
15438632,2,MOTOR VEHICLE,N,N,TX,1HD1FMW134Y627677,2004,BLK,HARLEY-DAVIDSON,NA,MOTORCYCLE,N,75078,1,PROOF OF LIABILITY INSURANCE,DISTRIBUTED LEFT SIDE DAMAGE PARALLEL IMPACT,DAMAGED 2,9,NA,NA,NA,N,DRIVER,DRIVEN AWAY BY DRIVER,NONE,NA,NA,WEST,Y,0,0,0,1,0,0,0
15386364,1,MOTOR VEHICLE,N,N,TX,LPRSA30A87A131823,2007,BLK,YAMAHA,NA,MOTORCYCLE,N,78741,1,PROOF OF LIABILITY INSURANCE,FRONT END (RIGHT)  DAMAGE PARTIAL CONTACT,DAMAGED 3,2,NA,NA,NA,Y,SOUTHSIDE WRECKER INC,SOUTHSIDE WRECKER INC,HAD BEEN DRINKING,NA,UNSAFE SPEED,EAST,Y,0,0,0,1,0,0,0
15389820,2,MOTOR VEHICLE,N,N,TX,1HD1GDV483K340801,2003,BLK,HARLEY-DAVIDSON,UNKNOWN,MOTORCYCLE,N,78228,1,PROOF OF LIABILITY INSURANCE,FRONT END DAMAGE CONCENTRATED IMPACT,DAMAGED 3,3,NA,NA,NA,N,CONTRACT,422 STEVES,FAULTY EVASIVE ACTION,NA,NA,WEST,Y,0,1,0,0,0,1,0
